,CG1,CG2,CG3,CG4,CG5,CG6,CG7,CG8,CG9,CG10,CG11
A0A087WZY1,152,99,0,117,214,167,95,137,207,226,224
A0A0G2JRQ6,7,0,0,0,5,0,0,0,0,0,0
A0A0J9YY99,9,4,1,6,7,3,10,2,6,0,0
A0A1B0GU03,13,10,10,17,30,3,6,9,24,27,3
A0A1W2PNV4,0,0,37,0,2,7,24,3,0,0,10
A1BG,0,0,48,0,5,0,6,0,0,10,3
A2M,23,114,566,3,47,103,208,58,0,68,71
A2ML1,16,86,562,18,80,166,176,18,10,144,72
ABCD3,0,0,3,0,0,0,0,0,0,0,0
ACADVL,0,0,16,0,0,0,0,0,0,0,0
ACSL1,0,0,3,0,0,0,0,0,0,0,0
ACTB,196,261,608,93,336,200,383,212,135,203,224
ACTBL2,3,6,1,0,1,3,2,1,0,1,5
ACTG2,0,0,0,0,0,0,0,1,0,0,0
ACTN4,0,14,271,0,19,43,68,0,0,17,34
ACTR1A,0,0,7,0,0,0,0,0,0,0,0
ACTR2,0,15,88,0,0,23,48,0,0,14,12
ACTR3B,0,6,36,0,0,9,25,0,0,0,8
ADH7,0,3,18,0,0,3,2,0,0,2,4
AFM,0,0,4,0,0,0,3,0,0,0,0
AHCY,0,0,6,0,0,0,0,0,0,0,0
AHNAK,0,2,78,0,5,28,307,0,0,7,56
AHNAK2,0,0,5,0,0,0,0,0,0,0,0
AHSG,0,0,27,0,9,3,21,5,4,5,4
AK2,0,0,6,0,0,0,0,0,0,0,0
AKR1A1,0,0,4,0,0,2,0,0,0,0,4
AKR1B10,0,0,9,0,0,0,0,0,0,0,4
ALB,445,766,2124,331,725,942,1687,711,479,1001,1141
ALDH2,0,0,13,0,0,0,6,0,0,0,0
ALDH3A1,0,7,57,0,9,16,0,0,0,17,17
ALDH3A2,0,0,1,0,0,0,0,0,0,0,0
ALDH9A1,0,0,19,0,0,0,3,0,0,0,0
ALDOA,12,27,192,7,39,50,92,13,3,48,89
ALDOC,0,0,6,0,2,4,7,0,0,4,6
ALOX12,0,0,9,0,0,0,0,0,0,0,0
ALOX5,0,0,3,0,0,0,0,0,0,0,0
ALOX5AP,0,0,0,0,0,0,10,0,0,0,0
AMBP,0,0,7,0,0,0,6,2,0,0,0
AMY1A,2059,5640,1059,3745,2536,5143,914,578,3820,4876,3379
AMY2A,1,8,1,1,3,1,0,0,3,2,2
AMY2B,2,4,0,22,1,3,0,0,2,14,7
ANG,0,0,3,0,3,0,3,0,0,2,0
ANP32B,0,0,0,0,0,0,2,0,0,0,0
ANXA1,112,304,1710,50,454,506,472,110,124,392,642
ANXA11,0,0,34,0,0,4,22,0,0,0,0
ANXA2,36,73,347,5,115,69,62,32,45,87,91
ANXA3,0,15,110,0,21,20,35,5,4,11,15
ANXA4,0,0,34,0,0,3,0,0,0,0,0
ANXA5,0,0,9,0,2,0,5,0,0,0,2
ANXA6,0,0,35,0,2,2,15,0,0,0,2
ANXA7,0,0,4,0,0,0,0,0,0,0,0
ANXA8L1,0,0,42,0,0,9,0,0,0,0,8
APCS,0,0,6,0,0,0,0,0,0,0,0
APLP1,0,0,0,0,0,1,0,0,0,0,0
APMAP,0,0,15,0,0,0,0,0,0,0,0
APOA1,22,54,214,10,42,79,95,27,10,76,82
APOB,0,0,64,0,3,0,7,0,0,0,0
APOBR,0,0,0,0,0,0,4,0,0,0,0
APOD,0,0,19,0,0,0,0,0,0,0,0
APOE,0,0,0,0,0,0,0,3,0,0,0
APOH,6,23,47,5,6,11,6,8,7,33,4
APP,0,0,0,0,6,0,0,0,0,0,0
APRT,0,0,5,0,0,0,0,0,0,0,0
ARF3,0,0,3,0,0,0,0,0,0,0,0
ARF4,0,0,8,0,0,0,0,0,0,0,0
ARF6,0,0,7,0,0,0,0,0,0,0,0
ARHGDIA,0,5,13,0,0,4,12,3,0,0,9
ARHGDIB,7,17,35,0,27,26,52,15,0,10,27
ARL8B,0,0,5,0,0,0,0,0,0,0,0
ARPC1A,0,0,3,0,0,0,0,0,0,0,0
ARPC1B,0,0,1,0,0,0,2,1,0,0,0
ARPC2,0,4,52,0,0,0,21,0,0,0,3
ARPC3,0,0,15,0,0,0,6,0,0,0,0
ARPC4-TTLL3,0,3,9,0,0,0,0,0,0,14,0
ARPC5,0,3,20,0,0,0,28,0,0,2,7
ARPC5L,0,0,2,0,0,0,0,0,0,0,0
ASAH1,0,0,8,0,0,0,0,0,0,4,0
ATP2A2,0,0,3,0,0,0,0,0,0,0,0
ATP5F1A,0,0,29,0,0,0,0,0,0,0,8
ATP5F1B,0,4,87,0,3,13,10,0,0,6,7
ATP5F1C,0,0,4,0,0,0,0,0,0,0,0
ATP5IF1,0,0,0,0,0,0,4,0,0,0,4
ATP5MF-PTCD1,0,2,7,0,0,3,2,0,0,0,0
ATP5PD,0,0,5,0,0,0,0,0,0,0,0
ATP6V1A,0,0,7,0,0,0,0,0,0,0,0
AZGP1,292,246,311,248,447,139,252,171,404,438,118
AZU1,21,62,177,12,47,203,373,33,0,48,197
B2M,35,29,15,21,38,10,13,27,39,31,0
B4E1Z4,3,2,13,0,0,0,0,4,0,8,0
BASP1,16,20,36,0,17,32,51,19,4,12,38
BCAP31,0,0,17,0,0,0,4,0,0,0,7
BLVRA,0,0,5,0,0,0,0,0,0,0,0
BLVRB,0,0,5,0,0,0,0,0,0,0,0
BPI,0,0,25,0,0,0,14,0,0,0,0
BPIFA1,0,15,0,0,0,0,0,0,0,0,0
BPIFA2,33,28,48,21,48,17,18,16,97,30,10
BPIFB1,0,60,17,4,4,0,0,0,15,44,0
BPIFB2,73,77,31,72,62,6,11,14,120,113,5
BSN,0,0,2,0,0,0,0,0,0,0,0
BST1,0,0,5,0,0,0,11,0,0,0,0
BTD,0,0,0,0,0,0,0,0,5,0,0
C1QC,0,0,6,0,0,0,0,0,0,0,0
C1QTNF3-AMACR,0,0,0,0,0,0,0,4,0,0,0
C1R,0,0,2,0,0,0,0,0,0,0,0
C1S,0,0,3,0,0,0,0,0,0,0,0
C3,72,142,534,6,82,62,200,46,26,176,102
C4A,13,8,67,0,13,0,0,9,0,8,0
C4BPA,0,0,22,0,0,4,15,0,0,0,2
C7,0,0,3,0,0,0,0,0,0,0,0
C9,0,0,6,0,0,0,2,0,0,0,0
CA6,103,198,74,384,112,45,26,176,446,219,56
CALM1,0,0,5,0,0,0,0,0,0,0,2
CALML3,5,16,107,0,33,38,50,5,4,37,97
CALR,0,5,57,0,14,19,61,8,4,0,38
CALU,16,8,0,0,5,0,3,10,13,15,0
CAMP,3,19,27,0,5,19,53,14,0,14,16
